110677100,9300,2100
24435800,10100,2100
46866800,9100,2000
99499100,9700,1900
47571100,329800,3100
88938100,10900,1900
89601200,10000,2000
113349400,10200,2100
96186200,10400,98900
93231800,9300,2000
76188600,8100,2900
54588600,10500,2100
42302400,10900,2100
82575100,9900,2100
91890300,8600,2100
11342700,8800,2000
6367000,9500,2100
63152400,9800,2100
17963000,10200,2300
102101200,10000,2100
5279500,9400,19600
95582300,11400,3000
11574000,11300,2100
91258100,10400,2000
7827100,8400,1900
4828300,9900,2000
7943800,10600,2300
95442700,10000,1900
7644400,1610100,2200
92059000,18900,46000
112035100,9600,2100
86819800,12900,2100
90325600,10700,2200
4507000,12500,2100
13934800,10200,2300
46583800,9800,2200
6192600,10100,2200
23449100,10600,1900
110923400,9600,2200
83014500,9400,2200
109899900,8900,1700
111748200,8600,1800
95558900,10200,2200
55658200,8800,2000
4592300,10700,2100
2522200,9100,2200
49062100,12300,1900
83732100,8600,2200
48527200,9700,1900
48071100,25200,2000
10306100,10000,2100
37029300,10200,2300
45082200,11000,2100
7448700,10600,2500
46190400,10400,2100
95193900,9300,1700
82822000,26800,2300
45484000,10000,2100
44565600,9500,2200
17634400,9500,2100
113072000,8600,2100
8766200,9200,1700
111674300,9700,1900
23841100,10100,2200
