28348500,9700,2100
44534900,10000,2400
31824100,10100,2400
31471500,10500,2500
35644700,8900,30300
33775300,10400,2200
42424600,8600,2100
40541300,20900,2400
55985200,10400,2100
39326200,9200,2500
41490800,11000,2300
31431100,10100,2100
43061000,12800,2400
32875000,11600,2300
53606200,9600,35700
41912200,9700,2200
30651800,9700,2300
27961600,7800,2300
56848800,10500,2300
45709200,10000,2200
31007000,8800,2100
52890500,10500,2300
31079700,8500,2200
32834500,9800,2000
35237400,10600,2300
32279700,10500,21600
53618100,11800,2300
32834400,17100,2200
30745200,9600,1900
41895700,9700,2500
46048500,10600,2200
30200500,10200,2400
