38800,8700,34817000
2500,10400,63074700
2600,10200,63764500
2100,8500,71752500
2100,8600,60479900
2400,9200,34995800
2100,9600,75315600
2400,10200,34687300
2500,9400,75051500
2400,9500,38581900
29300,10400,35973300
2500,8700,75480500
2300,9700,62455200
2600,7700,30854900
1900,8800,80299700
2200,10200,38230600
2700,9100,36842000
2200,10100,48004200
48300,10300,34074800
2100,10700,35347800
10400,10100,54525500
28400,9100,51050500
2100,19000,39168700
2100,9000,80455300
2600,9300,75885000
2300,18300,35394900
2300,9600,36996900
2400,11300,75333500
2000,9900,39173500
2100,9800,50510400
2500,21900,70473200
2500,9300,36347400
