173300,1059500,13200,10600
157000,947100,15000,52400
157900,1022200,12800,23400
141600,839700,11800,9300
160100,968700,12400,10800
179200,1210200,14200,100300
180100,1091900,12000,24700
165400,961800,13300,9300
163400,537500,12700,83800
159800,998100,12600,9800
460300,1028300,11500,10500
268100,1058600,10300,9300
170700,1035200,14000,11400
164600,1272000,15700,10100
164900,1357400,14600,9800
202200,1007200,13800,19000
2406500,1009900,15100,31100
278100,994800,13000,57700
137600,1178000,13600,9900
170500,1025200,12100,8400
179500,1143900,13000,10000
170300,1042800,10800,17400
172200,977000,12500,17600
184700,1223300,12900,23700
169900,1113700,11900,71600
170400,988800,12600,19700
166700,1165500,11600,16900
142000,933800,11600,9800
169900,1060300,11800,15900
171300,1123000,9300,11800
168100,1050200,13900,12400
215900,997900,11900,8900
